#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
<div>Can you tell me the highest yield points about multiple myeloma?”</div>	"<div>
<div><ul><li>o&nbsp;&nbsp;
Cancer of <b>plasma cells </b>→ monoclonal expansion, where the bone marrow has ↑↑ plasma cells (&gt;10%)
originating from a single plasma
cell.</li></ul><div><br></div><ul><li>o&nbsp;&nbsp;
Plasma cells secrete
non-functional immunoglobulin light-chains; these are mostly IgG; <b>serum
protein electrophoresis </b>is the next best step in the Dx of multiple
myeloma, which will show the ↑↑ IgG kappa and lamda;
this ↑↑ in IgG is called an M-protein spike;
this has nothing
to do with IgM; don’t
confuse that.</li></ul><div><br></div><ul><li>o&nbsp;&nbsp;
Since the IgG light chains
are proteins and are present in ↑↑ amounts in
the blood, they are prone to deposit
in tissues, leading to <b>amyloidosis </b>(abnormal
protein deposition in tissues)<b>; </b>multiple myeloma is most common cause
of renal and cardiac amyloidosis (this is all over the NBMEs); any renal/cardiac Dx in MM, answer = renal or cardiac amyloidosis.</li></ul><div><br></div><ul><li>o&nbsp;&nbsp;
The IgG light chains show up in the urine → Bence-Jones proteinuria.</li></ul><div><br></div><ul><li>o&nbsp;&nbsp;
The IgG light chains
cause RBCs to stick together
→ Roulette formation + ↑↑ ESR (the Roulettes are heavy, so the RBCs deposit at a faster
rate).&nbsp; &nbsp;</li></ul><div><br></div><ul><li>The neoplastic plasma cells can cause
↑ cytokine activity at bone → causes lytic lesions (e.g.,
“Pepperpot skull”) + back pain (spinal lytic lesions) → lysis of bone causes
hypercalcemia.<img src=""clip_image002-65ee0ffc487c77620648c9a9663adf3350f8589a.jpg""></li></ul><div><br></div><ul><li>o&nbsp;&nbsp;
Smear in multiple myeloma
will show plasma cells (blue cells below) with “clockface chromatin,” which is the appearance ascribed
to the nuclei (purple below).<br></li><li><table>
<tbody><tr>
<td></td>
</tr>
<tr>
<td></td>
<td><img src=""clip_image004-86f0bdb5f9d6054054f9f827857b705edce84c3c.jpg""></td>
</tr>
</tbody></table></li></ul></div>





</div>






<div>

<br>
</div>"	
"What are the highest
yield points for Waldenstrom macroglobulinemia?”"	"<div>
<div>&nbsp;Cancer&nbsp;of&nbsp;plasma<b>cytoid&nbsp;</b>cells&nbsp;→&nbsp;“oid”&nbsp;means&nbsp;looks&nbsp;like&nbsp;but&nbsp;ain’t.&nbsp;So&nbsp;the&nbsp;cells&nbsp;look&nbsp;like&nbsp;plasma&nbsp;cells,&nbsp;but&nbsp;they&nbsp;ain’t&nbsp;plasma&nbsp;cells.&nbsp;For&nbsp;instance,<br><ul><li>&nbsp; Fibrinoid&nbsp;necrosis&nbsp;in&nbsp;polyarteritis&nbsp;nodosa&nbsp;→&nbsp;necrosis&nbsp;looks&nbsp;like&nbsp;fibrin,&nbsp;but&nbsp;it’s&nbsp;not</li></ul><ul><li>&nbsp;Patients&nbsp;with&nbsp;MEN2B&nbsp;have&nbsp;Marfanoid&nbsp;body&nbsp;habitus&nbsp;→&nbsp;they&nbsp;look&nbsp;like&nbsp;they&nbsp;have&nbsp;Marfan&nbsp;syndrome,&nbsp;but&nbsp;they&nbsp;don’t.</li></ul>&nbsp;Hyperviscosity&nbsp;syndrome&nbsp;→&nbsp;can&nbsp;present&nbsp;as&nbsp;headache,&nbsp;blurry&nbsp;vision,&nbsp;pain&nbsp;in&nbsp;the&nbsp;tips&nbsp;of&nbsp;the&nbsp;fingers,&nbsp;and/or&nbsp;Raynaud&nbsp;phenomenon.<br><ul><li>&nbsp;Correct, Raynaud occurs in things other than CREST syndrome. And these&nbsp;hyperviscosity&nbsp;Sx&nbsp;are&nbsp;also&nbsp;seen&nbsp;in&nbsp;polycythemia.</li></ul>&nbsp; &nbsp;There&nbsp;is&nbsp;an&nbsp;<b>IgM&nbsp;</b>Mprotein&nbsp;spike;&nbsp;in&nbsp;contrast,&nbsp;MM&nbsp;has&nbsp;an&nbsp;IgG&nbsp;M-protein&nbsp;spike;&nbsp;once&nbsp;again,&nbsp;the&nbsp;M in M-protein spike has zero to do with IgM; it’s just what we call the immunoglobulin&nbsp;spike.&nbsp;Students&nbsp;fuck&nbsp;this&nbsp;up&nbsp;a&nbsp;lot,&nbsp;which&nbsp;is&nbsp;why&nbsp;I&nbsp;have&nbsp;to&nbsp;be&nbsp;extra&nbsp;redundant&nbsp;explaining&nbsp;this.</div><div><br></div><div><br>&nbsp; Unlike MM, there is no hypercalcemia; there is no Bence-Jones proteinuria; ESR need not be&nbsp;elevated.<br></div>






</div>


"	
82F + back pain + hypercalcemia + high ESR; Dx?&nbsp;	→ multiple myeloma	
"<div>&nbsp;82F + back pain + hypercalcemia + Hx of breast cancer
15 years ago; Dx?&nbsp;</div>"	"<div>metastatic
malignancy.</div>"	
"<div>64M + back pain + calcium normal + high BUN
&amp; Cr + low serum Na +
high serum K + low serum bicarb + x-ray shows lytic lesions of spine + epistaxis + low Hb + high MCV;
Dx?&nbsp;</div>"	"<div>multiple
myeloma causing renal amyloidosis,
resulting in uremic platelet dysfunction and renal tubular acidosis type IV (insensitivity to aldosterone, or
hyporeninemic hypoaldosteronism → Addisonian
biochemistry but the problem <b>is due to the kidney, not the adrenal
glands); </b>student says, “Wait, but why is calcium normal?” → Great question;
probably because renal failure causes
low Ca, but MM causes high Ca, so the patient could theoretically be
normocalcemic in MM if he/she also has renal failure (one NBME Q has normocalcemia in MM with renal
failure); epistaxis due to uremic platelet dysfunction; low Hb due to nosebleeds; MCV can be elevated in multiple myeloma.</div>"	
"50F + serum protein
electrophoresis shows M-spike + bone marrow biopsy shows &lt;10% plasma cells; Dx?&nbsp;"	"<div>monoclonal gammopathy of
undetermined significance (MGUS); 1-2% chance per year of progressing to multiple myeloma.</div>"	
"28F + just gave birth
+ two minutes after separation of placenta gets shortness of breath and tachycardia + bleeding from IV + catheter
sites; Dx?&nbsp;"	"<div>disseminated intravascular coagulation (DIC) secondary to amniotic fluid
embolism.</div>"	
Can you explain DIC?	"<div>
<div>intractable
clotting cascade activation in the setting of manifold triggers such as trauma,
sepsis, amniotic fluid embolism, Tx of AML with release
of Auer rods into circulation</div>
<div>→ USMLE wants you to know the arrows in DIC <span style=""color: rgb(0, 255, 0);""><b>(high-yield):</b></span></div>
<div><b>&nbsp;</b></div>
<div><ul><li>o&nbsp;&nbsp;
↑ BT, PT, aPTT, D-dimer,
plasmin activity; ↓ fibrinogen, platelets, clotting factors.&nbsp;</li></ul><ul><li>o&nbsp;&nbsp;
Fibrinogen
is converted to fibrin, which is why it decreases.</li></ul><ul><li>o&nbsp;&nbsp;
Plasmin breaks down fibrin,
so more fibrin means more plasmin is upregulated in an attempt to dissolve the excess fibrin
production.</li><li>o&nbsp;&nbsp;
D-dimer = fibrin degradation products;
since more fibrin is being broken down, D-dimer ↑.</li></ul><ul><li>o&nbsp;&nbsp;
“Bleeding from catheter/IV
sites” is 9 times out of 10 synonymous with DIC. However on one 2CK-level surgery NBME Q, dilutional
thrombocytopenia secondary to ↑ blood transfusions presents the same.</li></ul></div>





</div>


"	
"40F + has surgery +
requires 22 packs of RBCs transfused during the surgery + afterwards has
bleeding from catheter/IV sites + DIC not listed as an answer;
Dx?&nbsp;"	"<div>thrombocytopenia; student
says, “Wtf? I thought that description is DIC.” → packed RBCs don’t contain platelets → ↑↑ acute transfusions
→ dilutional thrombocytopenia + can present with DIC-like
picture in vignette. Weird I know, but you learn something new every day.</div>"	
"32F + SLE + DVT + PTT
of 60 seconds; Dx?&nbsp;"	"<div>antiphospholipid syndrome
(APLS) → APLS is the
answer when the patient has thromboses despite a paradoxically high aPTT (you’d
normally expect bleeding diathesis
with high aPTT). This is because phospholipid is necessary for proper functioning of the clotting cascade, so
the <i>in vitro </i>PTT test doesn’t work as
well (therefore ↑), but the antibodies cause clotting factor activation <i>in vivo. </i>APLS has numerous causes: you can have APL antibodies in the setting of SLE (we just
happen to call these Abs lupus anticoagulant), but we can also have Abs against beta-2-microglobulin
and cardiolipin, unrelated to SLE. Patients with APLS can sometimes
have a false-positive VDRL screening test for syphilis.</div>"	
Important coagulopathies?&nbsp;	<div>FVL, prothrombin gene mutation, antithrombin deficiency, protein C/S deficiency.<br></div>	
"65M + warfarin-induced skin necrosis; patient
most likely has what?&nbsp;"	"<div>&nbsp; &nbsp;protein C deficiency</div>
<div><br></div>
<div>→ short half-life
of protein C, which is depleted by warfarin, leads to ↑↑ hypercoagulable
state in someone
innately deficient.</div>"	
"23M + thrombosis + no mention
of ↑ PTT; Dx (FVL, prothrombin mutation, protein C/S deficiency are not
listed)?&nbsp;"	"<div>&nbsp;antithrombin deficiency;
wrong answer is antiphospholipid syndrome (presumably
for APLS the vignette will mention ↑ PTT if male
patient, or recurrent miscarriage in female).</div>"	
"<div>13M + bloody
diarrhea + afebrile
+ low platelets + low Hb + red urine + smear
is shown; Dx?</div><div><img src=""paste-a059c451e3408849ccd500267956e789d2fb10be.jpg""><br></div>"	"<div>hemolytic uremic syndrome
(HUS); presents with triad of</div>
<div><ul><li>1) thrombocytopenia;</li></ul><ul><li>2) hemolytic anemia
with schistocytes (above
smear); and</li></ul><ul><li>3) renal insufficiency with or without
hematuria.</li></ul></div>



"	
Mechanism of HUS?&nbsp;	"<div>E. coli (EHEC O157:H7) and
Shigella both secrete toxins (Shiga-like toxin and Shiga toxin, respectively) that cause inflammation of renal
microvasculature → ADAMTS13 protein inactivation
→ failure of cleavage of vWF multimers → platelet adherence to vascular endothelium cannot
be as readily reversed → platelet aggregations protrude into vascular
lumen causing shearing
of RBCs flying past → fragmentation of RBCs (schistocytes, aka helmet cells).</div>"	
"34F + epistaxis +
platelet count 80,000 + low Hb + muscle strength 3/5 on left side of body + temperature 101.2F; Dx?&nbsp;"	<div>&nbsp;thrombotic thrombocytopenic purpura (TTP) → presents with</div>	
"“Can you explain TTP? always mix that up
with ITP.”&nbsp;"	"&nbsp;TTP is thrombotic thrombocytopenic purpura; caused by antibodies against, or a mutation in, a
protein called ADAMTS13, which is a metalloproteinase
that breaks down vonWillebrand factor multimers. The presentation will
classically be a pentad of<br><ul><li>1)
thrombocytopenia; </li><li>2) schistocytosis;</li><li>3) renal insufficiency; </li><li>4) fever;</li><li>5)
neurologic signs.</li></ul>&nbsp;The combination of
thrombocytopenia + schistocytosis = microangiopathic hemolytic anemia (MAHA).<br>"	
"34F + epistaxis +
platelet count 80,000 + low Hb + muscle strength 3/5 on left side of body + temperature 101.2F; Dx?&nbsp;"	<div>&nbsp;TTP; at first you’re like, “Is this a stroke? What’s going on here?” This is how it presents on the NBME. The low hemoglobin is due to the fragmentation of the RBCs leading to schistocytosis.</div>	
"“What do you mean
fragmentation of RBCs leading to schistocytosis?”&nbsp;"	"<div>&nbsp;schistocytes
are caused by the
fragmentation/shearing of RBCs intravascularly. TTP is one of the common
causes. The others are hemolytic
uremic syndrome (HUS), DIC, HELLP syndrome in pregnancy, and mechanical
hemolysis (prosthetic heart valves).</div>"	
"“Can you explain HUS?
And I confuse it sometimes with TTP.”&nbsp;"	"<div>&nbsp;therefore
the combination of thrombocytopenia + schistocytosis (often
seen in a Q as a combo of low platelets + low Hb + normal
WBC count) should set off alarm bells for HUS and TTP. Because this
process occurs in microvasculature,
this is why the combo of thrombocytopenia and schistocytosis is referred to as microangiopathic hemolytic anemia (MAHA).
Other HY points:</div><div><br></div>
<div><ul><li>Whereas TTP presents with a
pentad of 1) thrombocytopenia; 2) schistocytosis; 3) renal insufficiency; 4) fever; 5) neurologic signs,
HUS presents with just the first three. Therefore:</li></ul><ul><li><span style=""color: rgb(0, 255, 0);"">TTP = HUS + fever and neurologic signs.</span></li></ul><ul><li>The mechanisms are
different, as discussed above, but presentation-wise, that’s an easy way to remember it.</li></ul><ul><li>HUS will classically be
pediatric + bloody diarrhea (EHEC or Shigella); TTP will usually be an adult who presents with fever and
stroke-like Sx + who also has the triad you’d expect to see in HUS. The tricky thing about TTP is
that episodes can be triggered by various etiologies, such as viral
infection, but the vignette will not give bloody diarrhea.</li></ul><ul><li>Tx for HUS is supportive with intravenous fluids;
Tx for TTP is plasmapheresis.</li></ul></div>





"	
"63M + fullness in LUQ
+ low Hb + high uric acid + bone marrow aspiration shows dry tap; Dx?&nbsp;"	"myelofibrosis → “massive splenomegaly” often seen in NBME
(fullness of LUQ); Hb can be low from
myelophthisic anemia (crowding of bone marrow leading to anemia); myelofibrosis
due to JAK2 mutation (same as PCV). Student
says, “Wait but why high uric acid? Isn’t that gout?” → can be seen sometimes with increased cell turnover, including
RBCs (precursors have nucleic acid)."	
"54F + massive splenomegaly + smear is shown; Dx<br><img src=""paste-2ebc84ec52a1598717b7fcb23cef5ff895e188f1.jpg"">"	myelofibrosis → dacrocytes = teardrop-shaped RBCs → HY for myelofibrosis; key terms are: “massive splenomegaly,” “dry tap,” “teardrop RBCs”).	
"What does red pulp vs white
pulp of spleen do?&nbsp;"	"→ red pulp is where senescent RBCs are phagocytosed; white pulp contains
~50% of the body’s reservoir of macrophages."	
"3F + African-American + painful hands + HR120 + 2/6 mid-systolic murmur;
Dx?&nbsp;"	"<div>sickle cell crisis; dactylitis (inflammation of the
fingers) is one of the most common presentations, especially in pediatrics; benign flow/functional murmurs
can be seen with high HR, especially in peds.</div>"	
"Inheritance pattern
of sickle cell?&nbsp;"	"<div>&nbsp;<b><span style=""color: rgb(0, 255, 0);"">autosomal recessive
(HY</span>)</b>; carrier status (one mutation)
is referred to as sickle
cell trait, which
is less severe than sickle
cell anemia (two mutations).</div>"	
Mutation in sickle cell?&nbsp;	<div>&nbsp;glutamic acid → valine on the beta-chain.</div>	
How to Dx sickle cell?&nbsp;	"<div>hemoglobin electrophoresis → glutamic acid is negatively charged; valine is
neutral; this means HbS is more non-polar → does not
migrate as far on Hb electrophoresis (gel goes from - → +) because it is less attracted to the + end of the gel.</div>"	
"When does sickling notably
occur in sickle cell?&nbsp;"	"dehydration + increased acidity.<br><img src=""paste-c6b72465e960744d2ca2f1086c620027d7567c9d.jpg""><br>"	
"4M + sickle cell + Q
asks which of the following best describes the molecular basis for sickling in
this patient&nbsp;"	"<div>gain of stabilizing hydrophobic interactions in the deoxygenated form of</div>
<div>hemoglobin S” → valine is more hydrophobic than glutamic acid.</div>"	
"5F + sickle cell; Q
asks mechanism for sickling;&nbsp;"	"<div>&nbsp;beta chain slips into a
complimentary hydrophobic pocket
on the alpha chain.</div>"	
3F + takes penicillin prophylaxis; why?&nbsp;	"<div>decreases Strep pneumo infections; penicillin prophylaxis indicated until age 5, in addition
to PCV13 and PPSV23
Strep pneumo vaccines.</div>"	
Why autosplenectomy in sickle cell + what vaccines are needed?&nbsp;	"<div>sickling in red pulp leads to microinfarcts
→ any sickle cell patient needs vaccines for <i>S. pneumo, H. influenzae type B, </i>and <i>Neisseria meningitidis.</i></div>"	
"Why are those
vaccines needed?&nbsp;"	"<div>with splenectomy (or
autosplenectomy), increased risk of infection
with encapsulated organisms, which require opsonization and phagocytosis for
clearance → spleen
white pulp is important site of phagocytosis (tangential: IgG and C3b are
immune system’s main opsonins).</div>"	
"One-year-old girl +
missed dose of penicillin prophylaxis a few days ago + now has fever of 103F +
HR 100, RR 22, low BP; what antibiotic do we give?&nbsp;"	"<div>cefotaxime; penicillin and ceftriaxone are wrong
answers; community-acquired sepsis (patient need not have sickle cell) often
treated with third-generation cephalosporin; give cefotaxime &lt; age 6; give ceftriaxone &gt; age 6.</div>"	
